1165620213720571904,2019-08-25 13:41:29,b'Bonbon udah vaksin kan cakep bener dahhh',,,,b'',b'cah gemblung',b'uneedmeboy',0,0
1165617907834871808,2019-08-25 13:32:20,b'@xonesiast @ursunshine615 @siIcver @idolfess Maaf mak.. Imunisasi antri ny di kiri yah',,,,b'',b'\xec\x95\x84\xeb\x8b\x88\xec\x82\xac / FOLLBACK YA KA',b'_chanyeolieee',0,0
1165616218377601025,2019-08-25 13:25:37,"b'Dulu, waktu kecil kalo mau imunisasi, ortu blgnya ""ga sakit koq, cuma kaya digigit semut koq"". \n\nTrus kan aku gamau bohong sama anakku, besok dia mau diimunisasi dan aku blg ""sakit sih, tp kamu harus kuat""\n\nEh dia malah nangis smp skrg blm berenti \xf0\x9f\x98\x9f\xf0\x9f\x98\x95'",,,,b'Jakarta',b'irna lestari',b'irna_lestari',0,0
1165614604308729857,2019-08-25 13:19:12,"b'""Apakah vaksin termasuk top survey gaesss???""\nhttps://t.co/YE0XDsICqR'",,,,"b'Ghoundall, Vastumeer'",b'Ghoundall Event',b'GhoundallEvent',1,0
1165606341571858432,2019-08-25 12:46:22,"b'Seribu tahun dari sekarang prof Michio memperkirakan masih akan ada kaum bumi datar, golongan orang yg anti vaksin, dan berbagai jenis orang yg percaya kepada non-sense (gosip, hoax, dll)'",,,,"b'Jakarta, Indonesia'",b'Rustamaji R\xc3\xb0\xc3\x9f\xc3\xb0\xe2\x80\xa0\xc3\xafk',b'rustamaji',1,2
1165606316951293954,2019-08-25 12:46:16,b'Pernah terlibat jual beli kucing? Cari informasi kenapa praktik ini haram dan berkontribusi menambah kucing terlantar di jalanan!\n\n#adoptdontshop\n\nJadilah pemilik yang bertanggung jawab. Steril dan vaksin kucing dan\xe2\x80\xa6 https://t.co/B59O5ACwAK',,,,b'Jakarta Capital Region',b'Catrescue.id',b'catrescuedotid',9,4
1165606091977216002,2019-08-25 12:45:22,b'Mama \xe2\x80\x9ckucingnya bisa di kasih vaksin posyandu aja ga biar gratis ?\xe2\x80\x9d',,"Place(_api=<tweepy.api.API object at 0x000001CDC1520A58>, id='8496c55fb5d1cd92', url='https://api.twitter.com/1.1/geo/id/8496c55fb5d1cd92.json', place_type='city', name='Pulo Gadung', full_name='Pulo Gadung, Indonesia', country_code='ID', country='Indonesia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDC1520A58>, type='Polygon', coordinates=[[[106.8778338, -6.217427], [106.918913, -6.217427], [106.918913, -6.165219], [106.8778338, -6.165219]]]), attributes={})",,b'Inside the EGG',b'kunoir | f lazuardi',b'SterVal',0,0
1165604989982494722,2019-08-25 12:41:00,b'@misscasiolrmy @Kessmaess Apa kau gila? Mesti lah gang gang tak vaksin juga',,"Place(_api=<tweepy.api.API object at 0x000001CDC1520A58>, id='72d5ecacd2d3a055', url='https://api.twitter.com/1.1/geo/id/72d5ecacd2d3a055.json', place_type='city', name='Pulai', full_name='Pulai, Johor', country_code='MY', country='Malaysia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDC1520A58>, type='Polygon', coordinates=[[[103.543741, 1.37863], [103.717041, 1.37863], [103.717041, 1.5670577], [103.543741, 1.5670577]]]), attributes={})",,b'Malaysia',b'L\xce\xa9\xe2\x88\x87\xd1\x94 M\xce\xa3\xcf\xaf \xe2\x83\xa4\xca\x9f\xe0\xa5\xaa\xf0\x93\x85\x94',b'perfcuktion',1,1
1165604936177971201,2019-08-25 12:40:47,"b'ANF! Ada anggota baru dirumahku, kira-kira apa aja yang perlu disiapin buat dedek-dedek ini?? Kayak tanggalan vaksin atau kapan boleh di kasih makan'",,,,b'Report/PP/CP \xf0\x9f\x91\x89\xf0\x9f\x8f\xbb',b'ANF!',b'animalfess',1,2
1165604934005350401,2019-08-25 12:40:46,"b'ANF! Ada anggota baru dirumahku, kira-kira apa aja yang perlu disiapin buat dedek-dedek ini?? Kayak tanggalan vaksin atau kapan boleh di kasih makan\n*fotonya ketinggalan\n https://t.co/D4U8MGH61T'",,,,b'Report/PP/CP \xf0\x9f\x91\x89\xf0\x9f\x8f\xbb',b'ANF!',b'animalfess',4,5
1165604529301159936,2019-08-25 12:39:10,b'dompet ku menangis setelah membawa 2 kucing ku vaksin huhu:(',,,,b'Pekanbaru Riau ',b'Icicuit',b'dessyazhar2',0,0
1165604340825915392,2019-08-25 12:38:25,b'@Kessmaess siapa nak kahwin dgn org tak vaksin entah',,,,b'',b'Uncle Farah',b'misscasiolrmy',0,1
1165603042558742531,2019-08-25 12:33:15,b'@Baseupfolls dan imunisasi',,,,b'nondat` nsfw . kochenk enthu.',"b'jom jom, sh'",b'jimlnprak',0,0
1165601510220128256,2019-08-25 12:27:10,"b'@deaisboring @animalfess Aduh di tasik gk tau nih , lupa pas waktu di jakarta blom di vaksin ,makasi ya ka'",,,,"b'Jakarta Selatan, DKI Jakarta'",b'kinderjoy',b'danilfadilah',0,0
1165601458244345856,2019-08-25 12:26:58,b'@animalfess Lucu anettt jan lupa di imunisasi ya \xf0\x9f\x98\x82',,,,b'',b'kocenkoren',b'nursetiawatiii',0,0
